artist,track,album,tags,duration_ms
Lil Durk,248,Just Cause Y'all Waited 2,rap|drill|Hip-Hop,156000
Tracy Byrd,The First Step,No Ordinary Man,country|tracy byrd|modern country,142000
Miley Cyrus,Unholy,SHE IS COMING [Clean],pop|female vocalists|dance,130000
Troye Sivan,STUD,In A Dream (Bonus Track Version),pop|indie pop|indie,209000
Fifth Harmony,Don't Say You Love Me,Fifth Harmony,pop|female vocalists|X factor,193000
Plain White T's,1234,,indie|pop punk|rock,200000
Jessica Simpson,The Lover in Me,A Public Affair,pop|female vocalists|dance,221000
Tanya Tucker,My Arms Stay Open All Night,20 Greatest Hits,country|female vocalists|classic country,215000
Dua Lipa,That Kind of Woman,Future Nostalgia: The Moonlight Edition,pop|synthpop|electropop,200000
Hannah Montana,You and Me Together,Hannah Montana 2 / Meet Miley Cyrus,pop|Disney|female vocalists,228000
B.o.B,Nothing On You f. Bruno Mars,Now That's What I Call Music! 76,Hip-Hop|hip hop|rap,268000
Connie Francis,Someone Else's Boy,Connie Rocks,oldies|female vocalists|50s,164000
Cassadee Pope,Payphone (The Voice Performance),The Complete Season 3 Collection (The Voice Performance),pop rock|pop|country,161000
OneRepublic,Nobody - from Kaiju No. 8,,pop rock|rock|alternative,0
"""Weird Al"" Yankovic",White And Nerdy,Alpocalypse HD,comedy|parody|rock,0
Selena Gomez & The Scene,We Own the Night,,pop|female vocalists|pop rock,227000
Surface,それじゃあバイバイ,Surface,japanese|j-pop|J-rock,185000
Surface,夢の続きへ,Last Attraction,japanese|j-pop|J-rock,292000
Evanescence,The Change,Evanescence,Gothic Rock|rock|female vocalists,222000
Fifth Harmony,Angel,Fifth Harmony,pop|female vocalists|X factor,189000
Hilary Duff,Reach Out,Best of Hilary Duff,pop|female vocalists|dance,252000
Tiffany,Heartbreak Hotel,Heartbreak Hotel,pop|80s|female vocalists,0
Boys Like Girls,Two Is Better Than One (Featuring Taylor Swift),,pop punk|alternative|rock,0
Total,Прости,TOTAL: 2 [мой мир],russian|female vocalists|russian rock,0
Kid Cudi,The Void,Man on the Moon III: The Chosen,Hip-Hop|rap|alternative rap,325000
Summer Walker,Constant Bullshit,Still Over It,rnb|soul|Neo-Soul,197000
Zayn,Tightrope,Nobody Is Listening,pop|rnb|british,204000
